x-coordinates,y-coordinates
4000,2500
4050,2500
4100,2500
4150,2500
4200,2500
4000,2550
4050,2550
4100,2550
4150,2550
4200,2550
4000,2600
4050,2600
4100,2600
4150,2600
4200,2600
4000,2650
4050,2650
4100,2650
4150,2650
4200,2650
4000,2700
4050,2700
4100,2700
4150,2700
4200,2700
2500,2500
2550,2500
2600,2500
2650,2500
2700,2500
2500,2550
2550,2550
2600,2550
2650,2550
2700,2550
2500,2600
2550,2600
2600,2600
2650,2600
2700,2600
2500,2650
2550,2650
2600,2650
2650,2650
2700,2650
2500,2700
2550,2700
2600,2700
2650,2700
2700,2700
